3.2.11,变电所设计和电气设备的安装,应采取,抗震措施
3.1.2,供配电系统的设计,应根据,民用建筑工程的负荷性质、用电容量、工程特点、系统规模和发展规划以及当地供电条件
3.1.2,设计方案,合理确定,根据民用建筑工程的负荷性质、用电容量、工程特点、系统规模和发展规划以及当地供电条件
3.1.3,供配电系统的设计,应简单可靠,
3.1.3,供配电系统的设计,应减少,电能损耗
3.1.3,供配电系统的设计,应便于,维护管理
3.1.4,供配电系统的设计,应符合,本标准
3.2.1,用电负荷,应根据,对供电可靠性的要求及中断供电所造成的损失或影响程度确定
3.2.1,用电负荷,应符合,下列要求
3.2.1,应定为一级负荷,情况之一,中断供电将造成人身伤害
3.2.1,一级负荷,应定为,中断供电将造成重大损失或重大影响
3.2.1,下列情况,应定为,二级负荷
3.2.1,中断供电,将影响,较重要用电单位的正常工作或造成人员密集的公共场所秩序混乱
3.2.1,用电负荷,应符合,一级和二级要求
3.2.1,不属于一级和二级的用电负荷,应定为,三级负荷
3.2.2,民用建筑,各类建筑物或场所,主要用电负荷级别
3.2.3,超高层公共建筑,消防负荷,一级负荷中的特别重要负荷
3.2.4,主体建筑中,一级负荷,特别重要负荷
3.2.4,空调设备,宜为,一级负荷
3.2.4,主体建筑中,大量一级负荷,正常运行的空调设备
3.2.4,空调设备,宜为,二级负荷
3.2.5,重要电信机房的交流电源,应不低于,该建筑中最高等级的用电负荷
3.2.6,住宅小区的给水泵房、供暖锅炉房及换热站,应,用电负荷不低于二级
3.2.7,大中型商场、超市营业厅、大开间办公室、交通候机/候车大厅及地下停车库等大面积场所的二级照明用电,应采用,双重电源的两个低压回路交叉供电
3.2.8,一级负荷,应由,双重电源供电
3.2.8,双重电源,发生,故障
3.2.8,另一个电源,不应同时受到,损坏
3.2.9,一级负荷,供电应符合,下列要求：除双重电源供电外，尚应增设应急电源供电
3.2.9,特别重要负荷,供电应符合,下列要求：2应急电源供电回路应自成系统，且不得将其他负荷接入应急供电回路
3.2.9,特别重要负荷,供电应符合,要求
3.2.9,应急电源,切换时间,应满足设备允许中断供电的要求
3.2.9,一级负荷,特别重要负荷,供电应符合要求
3.2.9,应急电源的供电时间,应满足,用电设备最长持续运行时间的要求
3.2.9,特别重要负荷,应符合,供电要求
3.2.9,配电箱切换开关,宜设置,电源监测和故障报警
3.2.9,一级负荷,包括,特别重要负荷
3.2.10,一级负荷,应由,双重电源的两个低压回路
3.2.10,双重电源的两个低压回路,在末端配电箱处,切换供电
3.2.11,二级负荷,应符合,35kV、20kV或10kV双回线路供电
3.2.11,专用的架空线路,可以供电,二级负荷
3.2.11,建筑物,由一路35kV、20kV或10kV电源,供电
3.2.11,二级负荷,可由两台变压器各引一路低压回路,切换供电
3.2.11,建筑物,由双重电源供电,
3.2.11,两台变压器低压侧,设有母联开关,
3.2.11,冷水机组,可由,一台专用变压器供电
3.2.11,季节性负荷,属于,二级负荷
3.2.11,照明系统,由,双重电源的两个低压回路交叉供电
3.2.11,照明系统负荷等级,可定为,二级负荷
3.2.12,三级负荷,可采用,单电源单回路供电
3.2.13,生活水泵、排污泵,互为备用工作制,可配对使用的两台变压器
3.2.13,配对使用的两台变压器,低压侧各引一路电源,分别为工作泵和备用泵供电
3.2.13,生活水泵、排污泵,一级或二级负荷,可由配对使用的两台变压器低压侧各引一路电源供电
3.2.14,负荷,应设置,UPS不间断电源装置
3.2.14,电源瞬时中断,不允许,负荷
3.3.1,供电电压,可直接降至,低压配电电压
3.3.1,负荷,集中,
3.3.1,配电线路电压损失,符合要求,
3.3.2,双重电源供配电系统,中断供电时,其余线路应能满足全部一级负荷及二级负荷的供电要求
3.3.3,用电单位,应设置,自备电源
3.3.3,1级负荷,中含有,特别重要负荷
3.3.3,设置自备电源,比,从电力系统取得第二电源更经济合理
3.3.3,第二电源,不能满足,一级负荷要求
3.3.3,双重电源,一路,冷备用
3.3.3,不能满足,消防电源允许中断供电时间的要求,
3.3.3,公共建筑,建筑高度,超过50m
3.3.3,公共建筑的外部,电源,一回不能满足用电要求
3.3.4,应急电源与正常电源,应采取,防止并列运行的措施
3.3.5,需要双重电源供电的用电单位,宜采用,同级电压供电
3.3.6,民用建筑,采用,35kV、20kV或10kV双重电源供电
3.3.6,高压侧,宜由,单母线分段组成供配电系统
3.3.6,两段母线间,宜设,联络开关
3.3.7,35kV、20kV或10kV供配电系统,配电级数,不宜多于两级
3.3.7,35kV、20kV或10kV供配电系统,低压系统,不宜多于三级
3.3.8,公共建筑内的35kV、20kV或10kV供电系统,宜采用,放射式
3.3.9,应急电源或备用电源,可作为,下列电源
3.3.9,下列电源,是,供电网络中独立于正常电源的专用馈电线路
3.3.9,电源,可作为,应急电源或备用电源
3.3.9,发电机组,独立于,正常电源
3.3.9,电源,包括,3蓄电池组
3.3.9,3蓄电池组,可作为,应急电源或备用电源
3.3.10,应急电源,应选择,允许中断供电的时间
3.3.10,自动投入装置的动作时间,能满足,允许中断供电时间
3.3.10,应急照明供电,可采用,应急照明集中电源装置(EPS
3.3.11,20kV或10kV供电系统,宜采用,环网方式
3.3.11,住宅小区,包括,住宅小区的供配电系统
3.3.11,高层住宅,宜设置,20kV(10kV)/0.4kV户内变电所或室外预装式变电站
3.3.11,20kV(10kV)/0.4kV户内变电所或室外预装式变电站,应设置在,首层或地下一层
3.3.12,超高层建筑,宜按照,不同功能分区及避难层划分设置相对独立的供配电系统
3.3.13,大型城市综合体建筑,宜按照,不同业态设置相对独立的供配电系统
3.3.14,居住建筑住户内的用电设备,应设置,用电计量
3.3.14,商业网点、配套设施及公共场所的用电设备,应设置,用电计量
3.3.14,建筑内的各个不同功能分区、不同业态、不同类别的用电,应分别设置,电能计量
3.4.1,用电设备,安装容量,250kW及以上
3.4.1,变压器,安装容量,160kVA及以上
3.4.1,宜以,20kV或10kV,供电) 
3.4.1,用电设备,总容量,250kW以下
3.4.1,变压器,安装容量,160kVA以下
3.4.1,可由,低压380V/220V,供电
3.4.2,柴油发电机组,宜采用,10kV及以上电压等级
3.4.2,供电距离,超过,300m
3.4.3,用电设备,电压偏差允许值,以额定电压的百分数表示
3.4.3,用电设备,电压偏差允许值,额定电压的百分数表示
3.4.4,35kV、20kV或10kV电源电压偏差,不能满足,用电单位对电压质量的要求
3.4.4,调压装置技术经济,不合理,单独设置
3.4.4,35kV、20kV或10kV的有载调压变压器,可采用,
3.4.5,电压波动,应限制在,合理的范围内
3.4.5,对冲击性低压负荷,宜采取,采用专线供电
3.4.5,限制电压波动,采取,措施
3.4.5,低压负荷,与其他负荷共用配电线路,降低配电线路阻抗
3.4.5,冲击性低压负荷,宜采取,下列措施
3.4.5,下列措施,包括,宜由不同变压器供电
3.4.5,限制电压波动,宜采取,动态无功补偿装置或动态电压调节装置
3.4.6,1220V单相用电设备,接入,220V/380V三相系统
3.4.6,220V/380V三相系统,应使,三相负荷平衡
3.4.6,三相低压配电系统,不平衡,降低
3.4.6,220V用电负荷,采用,220V单相供电
3.4.6,地区公共低压电网,供电,220V用电负荷
3.4.6,三相低压配电系统,应采取,措施
3.4.6,不平衡,降低,负荷
3.4.6,大于60A,采用,220V/380V三相供电
3.4.8,非线性负荷,宜采用,有源滤波器
3.4.8,预期非线性负荷容量较大,应在,变电所预留装设滤波器的安装位置
3.4.8,有源滤波器,进行,谐波治理
3.4.8,非线性负荷,宜采用,有源滤波器进行谐波治理
3.4.8,预期用电设备,宜在,配电箱处设置滤波器
3.4.8,树干式配电,宜在,设备安装处设置滤波器
3.4.8,放射式配电,可在,变压器二次母线处设置滤波器
3.4.9,非线性用电设备,宜采用,并联无源滤波器
3.4.9,非线性用电设备,宜在,谐波源处就地装设
3.4.10,谐波源,宜采用,无源滤波器与有源滤波器混合装设的方式
3.4.11,低压用电设备,宜采用,单独的配电回路供电
3.5.1,负荷计算,应包括,有功功率
3.5.1,负荷计算,应包括,无功功率
3.5.1,负荷计算,应包括,视在功率
3.5.1,负荷计算,应包括,无功补偿
3.5.1,负荷计算,应包括,一级、二级及三级负荷容量
3.5.1,负荷计算,应包括,3季节性负荷容量
3.5.2,方案设计阶段,可采用,单位指标法
3.5.2,初步设计及施工图设计阶段,宜采用,需要系数法
3.5.3,消防用电设备,计算负荷,大于火灾切除的非消防负荷
3.5.3,应按未切除的非消防负荷,加上,消防负荷计算总负荷
3.5.3,计算总负荷时,不应考虑,消防负荷容量
3.5.4,建筑物消防用电设备的计算负荷,应按,消防用电设备、发生火灾的防火分区内的消防用电设备及所有与其关联的防火分区消防用电设备的计算负荷之和确定
3.5.5,自备应急发电机,应满足,下列要求
3.5.5,自备应急发电机,按一级负荷中的特别重要负荷的计算容量,选择容量
3.5.5,一级负荷中的特别重要负荷,供电,自备应急发电机
3.5.5,自备应急发电机,负荷计算,满足要求
3.5.5,消防负荷及火灾时不允许中断供电的非消防负荷供电,计算负荷之和,应急发电机容量选择
3.5.5,自备应急发电机,第二电源,消防状态与非消防状态对第二电源需求的较大值
3.5.5,自备应急发电机,选择容量,按需求计算
3.5.6,单相负荷的总计算容量,小于,计算范围内三相对称负荷总计算容量的15%
3.5.6,单相负荷,换算为,等效三相负荷
3.5.6,等效三相负荷,与,三相负荷相加
3.6.1,无功补偿,宜在,配电变压器低压侧集中补偿
3.6.1,补偿基本无功功率的电容器组,宜在,变电所内集中设置
3.6.1,有高压负荷,宜考虑,高压无功补偿
3.6.2,民用建筑,内设有,多个变电所
3.6.2,各个变电所内的变压器低压侧,宜设置,无功补偿
3.6.3,用电设备,宜单独就地补偿,无功功率
3.6.4,变电所计量点,不宜低于,0.9的功率因数
3.6.5,用电设备的供电线路,装设,电容器组
3.6.5,电容器组,宜串联,电抗器
3.6.6,供配电系统,宜采用,成套无功补偿柜
3.6.6,供配电系统,宜采用,无功自动补偿装置
3.6.6,无功自动补偿装置,装设,经济上合理时
3.6.6,民用建筑内的供配电系统,宜采用,成套无功补偿柜
3.6.6,民用建筑内的供配电系统,宜采用,无功自动补偿装置
3.6.6,装设无功补偿装置时,避免,在轻载下电压过高
3.6.6,民用建筑内的供配电系统,宜采用,无功自动补偿装置) 
3.6.6,无功自动补偿装置,能满足,在各种运行负荷情况下的电压偏差允许值时
4.1.1,本章,可适用于,交流电压为35kV及以下的变电所设计
4.1.2,变电所设计,应根据,工程特点、负荷性质、用电容量、供电条件、节约电能、安装、运行维护要求等因素
4.1.2,变电所设计,应合理确定,设计方案
4.1.2,变电所设计,应适当考虑,发展的可能性
4.1.3,变电所设计和电气设备的安装,应采取,抗震措施
4.1.4,变电所设计,应符合,本标准
4.1.4,变电所设计,应符合,现行国家标准《35kV～110kV变电站设计规范》GB50059
4.1.4,变电所设计,应符合,现行国家标准《3～110kV高压配电装置设计规范》GB50060
4.2.1,变电所位置选择,应符合,要求
4.2.1,变电所位置选择,应深入或靠近,负荷中心
4.2.1,变电所位置选择,应符合,下列要求
4.2.1,下列要求,包括,2进出线方便
4.2.1,变电所位置选择,应符合,3设备吊装
4.2.1,变电所位置选择,应符合,运输方便
4.2.1,下列要求,包括,不应设在对防电磁辐射干扰有较高要求的场所
4.2.1,对防电磁辐射干扰有较高要求的场所,是,不适合变电所设立的地点
4.2.1,变电所位置选择,不宜设在,多尘、水雾或有腐蚀性气体的场所
4.2.1,变电所位置选择,不应设在,污染源的下风侧
4.2.1,位置,不应设在,厕所、浴室、厨房或其他经常有水并可能漏水场所的正下方
4.2.1,位置,不宜与,上述场所贴邻
4.2.1,相邻隔墙,应做,无渗漏、无结露等防水处理
4.2.1,7变电所,不应设置在,地势低洼和可能积水的场所
4.2.2,变电所,可设置,建筑物的地下层
4.2.2,变电所,不宜设置,最底层
4.2.2,变电所,应根据环境要求降低湿度及增设机械通风等,设置在建筑物地下层时
4.2.2,当地下只有一层时,尚应采取,预防洪水、消防水或积水从其他渠道浸泡变电所的措施
4.2.3,民用建筑,宜按,不同业态和功能分区设置变电所
4.2.3,民用建筑,宜分散设置,当供电负荷较大，供电半径较长时
4.2.3,超高层建筑的变电所,宜分设,在地下室、裙房、避难层、设备层及屋顶层等处
4.3.1,配电变压器选择,应根据,建筑物的性质、负荷情况和环境条件确定
4.3.1,配电变压器选择,应选用,低损耗、低噪声的节能型变压器
4.3.2,配电变压器,不宜大于,85%的长期工作负载率
4.3.2,变压器,宜装设,两台及以上
4.3.2,变压器,其余容量应满足,一级和二级负荷用电要求
4.3.3,电力和照明,采用,共用变压器
4.3.3,共用变压器,将严重影响,照明质量及光源寿命
4.3.3,照明,可设,专用变压器
4.3.3,条件,符合,下列条件之一
4.3.3,下列条件之一,季节性负荷容量较大,
4.3.3,下列条件之一,冲击性负荷严重影响电能质量,
4.3.3,可设专用变压器,当,符合下列条件之一
4.3.3,负荷容量,较大,专用变压器
4.3.3,中性导体电流,超过,变压器低压绕组额定电流的25%
4.3.3,不平衡负荷,引起,中性导体电流
4.3.3,专用变压器,可设,符合下列条件之一
4.3.3,符合下列条件之一,只有单相负荷且容量不是很大时,可设置单相变压器
4.3.3,符合下列条件之一,,可设专用变压器
4.3.3,某些特殊设备,需要,功能
4.3.3,220V/380V电源系统,为,不接地或经高阻抗接地的IT接地形式
4.3.3,照明系统,应设,专用变压器
4.3.3,照明系统,设,专用变压器
4.3.4,供电系统中,宜选用,Dynl1结线组别的变压器
4.3.5,民用建筑内的变压器,应选择,干式变压器、气体绝缘变压器或非可燃性液体绝缘变压器
4.3.6,变电所,设置在,民用建筑物室外
